RowID,Name,smiles-joint,cation,anion,econd_15,econd_20,econd_25,econd_30,econd_40,econd_50,econd_60,econd_70
IL0000,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F,0.087866667,0.124375,0.153678571,0.1815,0.286666667,0.442222222,0.6072,0.8484
IL0001,1-butyl-3-methylimidazolium trifluoroacetate,CCCCn1cc[n+](C)c1.[O-]C(=O)C(F)(F)F,CCCCn1cc[n+](C)c1,[O-]C(=O)C(F)(F)F,0.205,0.24,0.365666667,0.4635,0.676,1.05,1.24,1.75
IL0002,1-octyl-3-methylimidazolium hexafluorophosphate,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,0.01232,0.018,0.026533333,0.035775,0.065525,0.10948,0.171,0.2535
IL0003,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,CCn1cc[n+](C)c1.[O-][S](=O)(=O)C(F)(F)F,CCn1cc[n+](C)c1,[O-][S](=O)(=O)C(F)(F)F,0.6482,0.772333333,0.889,1.006333333,1.34156,1.63525,2.0508,2.279
IL0004,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCn1cc[n+](C)c1.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CCCCn1cc[n+](C)c1,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,0.262,0.334601467,0.389515789,0.479114286,0.664393333,0.87425,1.159888889,1.462142857
IL0007,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,0.2045,0.254557143,0.348952632,0.446092857,0.656481818,0.919018182,1.18944,1.4682375
IL0008,1-ethyl-3-methylimidazolium ethyl sulfate,CCn1cc[n+](C)c1.CCO[S]([O-])(=O)=O,CCn1cc[n+](C)c1,CCO[S]([O-])(=O)=O,0.224166667,0.2965,0.3882,0.475333333,0.70375,0.9905,1.3177,1.747
IL0017,1-methyl-3-octylimidazolium tetrafluoroborate,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,CCCCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,0.0306,0.042833333,0.061725,0.07865,0.131725,0.2042,0.3045,0.422
IL0021,1-hexyl-3-methylimidazolium hexafluorophosphate,CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCCCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F,0.026615,0.038333333,0.054783333,0.07342,0.12848,0.203916667,0.3134,0.45
IL0022,1-hexyl-3-methylimidazolium tetrafluoroborate,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,CCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,0.06595,0.0893,0.129475,0.15965,0.25435,0.3876,0.56605,0.7633
